SCHOOLDIST,status
UNADILLA VALLEY,None Reported
UNION SPRINGS,None Reported
UNION-ENDICOTT,None Reported
UNIONDALE,None Reported
UTICA,None Reported
VALHALLA,Delay
VALLEY STR HEMP 13,None Reported
VALLEY STR HEMP 24,None Reported
VALLEY STR HEMP 30,None Reported
VALLEY STRM CENTRAL,None Reported
VALLEY-MONTGOMERY,Delay
VAN HORNSVILLE,None Reported
VESTAL,None Reported
VICTOR,None Reported
VOORHEESVILLE,None Reported
W. CANADA VALLEY,None Reported
WAINSCOTT,None Reported
WALLKILL,Delay
WALTON,None Reported
WANTAGH,None Reported
WAPPINGERS,Delay
WARRENSBURG,None Reported
WARSAW,None Reported
WARWICK VALLEY,None Reported
WASHINGTONVILLE,None Reported
WATERFORD,None Reported
WATERLOO,None Reported
WATERTOWN,None Reported
WATERVILLE,None Reported
WATERVLIET,None Reported
WATKINS GLEN,None Reported
WAVERLY,None Reported
WAYLAND,None Reported
WAYNE,None Reported
WEBB,None Reported
WEBSTER,None Reported
WEEDSPORT,None Reported
WELLS,None Reported
WELLSVILLE,None Reported
WEST BABYLON,None Reported
WEST GENESEE,None Reported
WEST HEMPSTEAD,None Reported
WEST IRONDEQUOIT,None Reported
WEST ISLIP,None Reported
WEST SENECA,None Reported
WEST VALLEY,None Reported
WESTBURY,None Reported
WESTFIELD,None Reported
WESTHAMPTON BEACH,None Reported
WESTHILL,None Reported
WESTMORELAND,None Reported
WHEATLAND-CHILI,None Reported
WHITE PLAINS,Delay
WHITEHALL,None Reported
WHITESBORO,None Reported
WHITESVILLE,None Reported
WHITNEY PT,None Reported
WILLIAM FLOYD,None Reported
WILLIAMSON,None Reported
WILLIAMSVILLE,None Reported
WILLSBORO,None Reported
WILSON,None Reported
WINDSOR,None Reported
WORCESTER,None Reported
WYANDANCH,None Reported
WYNANTSKILL,None Reported
WYOMING,None Reported
YONKERS,Closed
YORK,None Reported
YORKSHIRE-PIONEER,None Reported
YORKTOWN,Delay
